contig	Length	RR131Jul_Bulk_S47	RR131Oct_Bulk_S12	RR131Oct_vir_S17	RR132Jul_Bulk_S49	RR132July_vir_S9	RR132Oct_Bulk_S20	RR132Oct_vir_S16	RR231Jul_Bulk_S41	RR231July_vir_S32	RR231Oct_Bulk_S40	RR231Oct_vir_S21	RR232Jul_Bulk_S38	RR232Oct_Bulk_S54	RR232Oct_vir_S28	RR451Jul_Bulk_S30	RR451July_vir_S10	RR451Oct_Bulk_S25	RR451Oct_vir_S11	RR452Jul_Bulk_S31	RR452Oct_Bulk_S26	RR452Oct_vir_S6	RR641Jul_Bulk_S58	RR641Oct_Bulk_S50	RR641Oct_vir_S1	RR642Jul_Bulk_S45	RR642July_vir_S5	RR642Oct_Bulk_S51	RR642Oct_vir_S19	RR681Jul_Bulk_S43	RR681July_vir_S24	RR681Oct_Bulk_S57	RR681Oct_vir_S18	RR682Jul_Bulk_S36	RR682Oct_Bulk_S22	RR682Oct_vir_S8	RR891Jul_Bulk_S29	RR891July_vir_S2	RR891Oct_Bulk_S44	RR891Oct_vir_S15	RR892Jul_Bulk_S33	RR892Oct_Bulk_S56	RR892Oct_vir_S23
biochar_2018_1032	30947	0	0	0	0	6.319	0	4.4204	9.52	4.5238	0	0	0	0	0	0	1.6663	0	0	0	0	0	0	0	0	0	5.402	0	0	3.1623	3.7689	0	0	0	0	0	0	3.0598	0	0	0	0	0
biochar_2018_1046	30294	0	0	7.6102	0	19.4943	0	3.6296	5.1167	13.0118	0	0	3.0636	0	0	3.2134	49.1282	0	0	0	0	0	1.8484	0	10.8236	4.5909	102.9751	0	0	0	4.3329	0	0	0	0	8.4299	2.1687	32.7679	0	0	0	0	7.4327
biochar_2018_1047	30288	0	0	0	0	4.4868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1061	29821	0	0	5.2937	0	54.6236	0	4.6468	0	0	0	0	0	0	0	0	19.8103	0	0	0	0	5.748	0	0	0	0	21.79	0	0	0	0	0	0	0	0	0	0	28.5799	0	0	0	0	0
biochar_2018_1077	29381	0	0	5.5653	0	52.5437	0	3.1096	0	0	0	0	0	0	0	0	17.2585	0	0	0	0	9.3241	0	0	0	0	15.824	0	0	0	0	0	0	0	0	0	4.3959	47.1462	0	0	0	0	0
biochar_2018_1087	29100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4278	0	0	0	0	0	0	0	2.7714	0	0	0	0	0	0	0	0	2.5576	0	0	0	0	0	0	0
biochar_2018_1088	29063	2.0018	0	0	0	9.0944	0	0	0	0	0	0	0	0	0	0	8.9206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8141	0	0	0	0	0
biochar_2018_109	60437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1110	28449	0	0	5.0846	0	11.9061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_112	59768	0	0	0	0	9.0422	0	0	0	0	0	0	0	0	0	0	6.5096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1125	28082	0	0	0	0	2.0693	0	0	0	0	0	0	0	0	0	0	3.438	0	0	0	6.3638	0	0	0	0	0	4.178	0	0	0	0	0	0	0	0	0	3.8049	0	0	0	0	0	0
biochar_2018_1128	28062	0	0	22.8871	0	0	0	5.0638	0	8.0052	0	0	0	0	0	0	3.0554	0	0	0	2.4997	0	0	0	8.8367	0	82.3878	0	2.6288	0	0	0	0	0	2.4499	2.3191	0	23.3979	8.6525	0	0	0	70.0788
biochar_2018_1131	28028	0	0	0	0	3.6306	0	0	0	0	0	0	0	0	0	0	3.0697	0	0	0	0	0	0	0	0	0	4.9695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1136	27910	0	0	0	0	3.058	0	0	0	0	0	0	0	0	0	0	8.3364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0283	0	0	0	0	0
biochar_2018_1156	27238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7911	0	67.2787	0	0	0	0	0	0	0	0	16.325	0	13.5936	0	0	0	0	0
biochar_2018_1173	26802	0	0	0	0	13.8713	0	0	0	0	0	0	0	0	0	0	5.6049	0	0	0	0	0	0	0	0	0	4.5635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1197	26392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9581	1.5072	29.333	0	0	36.4067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1202	26313	0	0	0	0	0	0	0	0	1.6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1207	26182	0	0	0	0	8.4112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1221	25874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1223	25802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2702	0	0	0	0	0
biochar_2018_1225	25748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5871	0	0	0	0	0
biochar_2018_1255	25217	0	0	0	0	3.7956	0	0	0	0	0	0	0	0	0	0	26.0753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1356	0	0	0	0	0
biochar_2018_1326	23958	0	0	0	0	0	0	0	0	2.1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1331	23874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1395	22623	0	0	0	0	5.1969	0	2.4395	0	6.4365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8831	0	0	0	2.2429	2.6366	0	0	0	0	0	2.4773	0	0	0	0	0
biochar_2018_14	92664	0	0	0	0	8.2061	0	0	0	0	0	0	0	0	0	0	11.9711	0	0	0	0	4.3564	0	0	3.4341	0	28.6425	0	0	0	0	0	0	0	0	0	0	16.2585	0	0	0	0	0
biochar_2018_1405	22446	0	0	0	0	2.4612	0	0	0	0	0	0	0	0	0	0	3.9318	0	0	0	0	2.3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0354	0	0	0	0	0
biochar_2018_1406	22424	0	0	0	0	9.1134	0	0	0	0	0	0	0	0	0	0	20.0491	0	0	0	0	4.8016	0	0	6.795	0	19.2464	0	0	0	0	0	0	0	0	3.8198	0	6.2731	0	0	0	0	0
biochar_2018_1417	22263	0	0	0	0	2.8969	0	1.8561	0	2.903	0	0	1.4493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8221	4.2786	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1439	21975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6138	0	0	0	0	4.0197
biochar_2018_1453	21813	0	0	0	0	3.3419	0	2.321	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7903	0	0	5.0882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1458	21778	0	0	4.3287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3623
biochar_2018_1462	21720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3406	0	0	8.413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9475	0	0	0	0	0
